Epoch 73/1000, Train Loss: 0.0951, Train Accuracy: 0.8662, Train F1: 0.8581, Validation Loss: 0.0840, Validation Accuracy: 0.8861, Validation F1: 0.8806
Epoch 74/1000, Train Loss: 0.0956, Train Accuracy: 0.8651, Train F1: 0.8568, Validation Loss: 0.0837, Validation Accuracy: 0.8842, Validation F1: 0.8788
Epoch 75/1000, Train Loss: 0.0947, Train Accuracy: 0.8672, Train F1: 0.8587, Validation Loss: 0.0834, Validation Accuracy: 0.8870, Validation F1: 0.8820
Epoch 76/1000, Train Loss: 0.0944, Train Accuracy: 0.8636, Train F1: 0.8554, Validation Loss: 0.0838, Validation Accuracy: 0.8856, Validation F1: 0.8805
Epoch 77/1000, Train Loss: 0.0959, Train Accuracy: 0.8630, Train F1: 0.8549, Validation Loss: 0.0837, Validation Accuracy: 0.8872, Validation F1: 0.8824
Epoch 78/1000, Train Loss: 0.0960, Train Accuracy: 0.8661, Train F1: 0.8579, Validation Loss: 0.0832, Validation Accuracy: 0.8868, Validation F1: 0.8816
Epoch 79/1000, Train Loss: 0.0943, Train Accuracy: 0.8651, Train F1: 0.8571, Validation Loss: 0.0827, Validation Accuracy: 0.8858, Validation F1: 0.8807
Epoch 80/1000, Train Loss: 0.0954, Train Accuracy: 0.8647, Train F1: 0.8568, Validation Loss: 0.0830, Validation Accuracy: 0.8856, Validation F1: 0.8799
Epoch 81/1000, Train Loss: 0.0945, Train Accuracy: 0.8635, Train F1: 0.8546, Validation Loss: 0.0828, Validation Accuracy: 0.8856, Validation F1: 0.8806
Epoch 82/1000, Train Loss: 0.0946, Train Accuracy: 0.8673, Train F1: 0.8592, Validation Loss: 0.0829, Validation Accuracy: 0.8877, Validation F1: 0.8826
Epoch 83/1000, Train Loss: 0.0942, Train Accuracy: 0.8690, Train F1: 0.8609, Validation Loss: 0.0828, Validation Accuracy: 0.8877, Validation F1: 0.8825
Epoch 84/1000, Train Loss: 0.0950, Train Accuracy: 0.8668, Train F1: 0.8586, Validation Loss: 0.0827, Validation Accuracy: 0.8872, Validation F1: 0.8825
Epoch 85/1000, Train Loss: 0.0941, Train Accuracy: 0.8676, Train F1: 0.8594, Validation Loss: 0.0821, Validation Accuracy: 0.8872, Validation F1: 0.8817
Epoch 86/1000, Train Loss: 0.0941, Train Accuracy: 0.8660, Train F1: 0.8578, Validation Loss: 0.0820, Validation Accuracy: 0.8889, Validation F1: 0.8839
Epoch 87/1000, Train Loss: 0.0932, Train Accuracy: 0.8713, Train F1: 0.8636, Validation Loss: 0.0820, Validation Accuracy: 0.8896, Validation F1: 0.8846
Epoch 88/1000, Train Loss: 0.0945, Train Accuracy: 0.8665, Train F1: 0.8586, Validation Loss: 0.0820, Validation Accuracy: 0.8887, Validation F1: 0.8836
Epoch 89/1000, Train Loss: 0.0929, Train Accuracy: 0.8695, Train F1: 0.8615, Validation Loss: 0.0821, Validation Accuracy: 0.8882, Validation F1: 0.8828
Epoch 90/1000, Train Loss: 0.0930, Train Accuracy: 0.8702, Train F1: 0.8623, Validation Loss: 0.0820, Validation Accuracy: 0.8891, Validation F1: 0.8847
Epoch 91/1000, Train Loss: 0.0935, Train Accuracy: 0.8676, Train F1: 0.8597, Validation Loss: 0.0820, Validation Accuracy: 0.8889, Validation F1: 0.8830
