Epoch 77/100, Train Loss: 0.3449, Train Accuracy: 0.8778, Train F1: 0.8716, Validation Loss: 0.4344, Validation Accuracy: 0.8421, Validation F1: 0.8394
Epoch 78/100, Train Loss: 0.3438, Train Accuracy: 0.8782, Train F1: 0.8722, Validation Loss: 0.4376, Validation Accuracy: 0.8410, Validation F1: 0.8383
Epoch 79/100, Train Loss: 0.3420, Train Accuracy: 0.8794, Train F1: 0.8735, Validation Loss: 0.4409, Validation Accuracy: 0.8383, Validation F1: 0.8360
Epoch 80/100, Train Loss: 0.3397, Train Accuracy: 0.8791, Train F1: 0.8732, Validation Loss: 0.4453, Validation Accuracy: 0.8355, Validation F1: 0.8345
Epoch 81/100, Train Loss: 0.3409, Train Accuracy: 0.8799, Train F1: 0.8740, Validation Loss: 0.4293, Validation Accuracy: 0.8443, Validation F1: 0.8404
Epoch 82/100, Train Loss: 0.3381, Train Accuracy: 0.8803, Train F1: 0.8745, Validation Loss: 0.4736, Validation Accuracy: 0.8214, Validation F1: 0.8235
Epoch 83/100, Train Loss: 0.3374, Train Accuracy: 0.8802, Train F1: 0.8743, Validation Loss: 0.4292, Validation Accuracy: 0.8451, Validation F1: 0.8396
Epoch 84/100, Train Loss: 0.3372, Train Accuracy: 0.8810, Train F1: 0.8753, Validation Loss: 0.4328, Validation Accuracy: 0.8433, Validation F1: 0.8402
Epoch 85/100, Train Loss: 0.3372, Train Accuracy: 0.8813, Train F1: 0.8756, Validation Loss: 0.4291, Validation Accuracy: 0.8441, Validation F1: 0.8395
Epoch 86/100, Train Loss: 0.3359, Train Accuracy: 0.8811, Train F1: 0.8755, Validation Loss: 0.4287, Validation Accuracy: 0.8480, Validation F1: 0.8389
Epoch 87/100, Train Loss: 0.3374, Train Accuracy: 0.8806, Train F1: 0.8749, Validation Loss: 0.4356, Validation Accuracy: 0.8423, Validation F1: 0.8391
Epoch 88/100, Train Loss: 0.3361, Train Accuracy: 0.8804, Train F1: 0.8746, Validation Loss: 0.4226, Validation Accuracy: 0.8503, Validation F1: 0.8433
Epoch 89/100, Train Loss: 0.3340, Train Accuracy: 0.8814, Train F1: 0.8758, Validation Loss: 0.4255, Validation Accuracy: 0.8464, Validation F1: 0.8404
Epoch 90/100, Train Loss: 0.3351, Train Accuracy: 0.8829, Train F1: 0.8773, Validation Loss: 0.4598, Validation Accuracy: 0.8255, Validation F1: 0.8265
