OID_,Id,Shape_Length,Shape_Area,sum_Total_True_ton,sum_Total_Pred_ton,Point_Count,Error
2745,0,800.000000000000000,40000.000000000000000,284.274574580916010,242.911549446257993,1,14.550377991291102
2746,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2747,0,800.000000000000000,40000.000000000000000,307.849081699692022,280.910775488653030,2,8.750491007576699
2748,0,800.000000000000000,40000.000000000000000,611.857449142218002,571.868235297471074,4,6.535707606536302
2749,0,800.000000000000000,40000.000000000000000,1237.343049315216149,1232.782251090079853,9,0.368596100140570
2750,0,800.000000000000000,40000.000000000000000,1011.368186504235041,1232.530879128893957,9,21.867673472022233
2751,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2752,0,800.000000000000000,40000.000000000000000,0.000000000000000,31.567072475902901,1,
2753,0,800.000000000000000,40000.000000000000000,1116.284769516096048,1157.429069670613217,8,3.685824735596188
2754,0,800.000000000000000,40000.000000000000000,603.132381956771951,676.928798255873403,6,12.235525484418549
2755,0,800.000000000000000,40000.000000000000000,0.000000000000000,-38.796776489663905,4,
2756,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2757,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2758,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2759,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2760,0,800.000000000000000,40000.000000000000000,544.443684675516010,662.226135912957261,9,21.633541641251405
2761,0,799.936487165675885,39999.263142871917807,0.000000000000000,0.000000000000000,0,
2762,0,800.000000000000000,40000.000000000000000,687.483599490791903,654.157515234092898,4,4.847546076936687
2763,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2764,0,800.000000000000000,40000.000000000000000,0.000000000000000,65.367473044587896,2,
2765,0,800.000000000000000,40000.000000000000000,480.091651729668001,334.223035509207989,2,30.383493588136023
2766,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2767,0,800.000000000000000,40000.000000000000000,270.822385641159030,200.373404766282135,4,26.012982903201415
2768,0,777.074023264879884,37707.349999994039536,0.000000000000000,0.000000000000000,0,
2769,0,800.000000000000000,40000.000000000000000,542.871214071695931,768.027955806345744,5,41.475166834857042
2770,0,800.000000000000000,40000.000000000000000,0.000000000000000,31.440577646059900,2,
2771,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2772,0,800.000000000000000,40000.000000000000000,1126.585342446371897,1381.111000956399039,10,22.592665546076297
2773,0,800.000000000000000,40000.000000000000000,330.149291136371971,399.804281192827261,5,21.098028051704492
2774,0,800.000000000000000,40000.000000000000000,0.000000000000000,21.895142698295601,1,
2775,0,800.000000000000000,40000.000000000000000,477.012098997936050,726.962610411944866,6,52.399197408007524
2776,0,800.000000000000000,40000.000000000000000,0.000000000000000,-0.528893820536100,2,
2777,0,800.000000000000000,40000.000000000000000,779.976372916259947,995.240880707402880,8,27.598849819807842
2778,0,800.000000000000000,40000.000000000000000,151.216658275392007,189.588061953814986,1,25.375116813216398
2779,0,800.000000000000000,40000.000000000000000,1018.800996835752017,1282.738807009502125,9,25.906709062270515
2780,0,800.000000000000000,40000.000000000000000,837.001194190056140,777.513348476948977,6,7.107259359488964
2781,0,800.000000000000000,40000.000000000000000,519.701071348152027,368.169811435708993,2,29.157388403944811
2782,0,800.000000000000000,40000.000000000000000,870.770082765599909,724.154225010868913,4,16.837493691684180
2783,0,800.000000000000000,40000.000000000000000,1110.105178941131726,1103.577630662839965,8,0.588011694938495
2784,0,800.000000000000000,40000.000000000000000,1261.129939381007944,1324.182710884559128,10,4.999704593049227
2785,0,800.000000000000000,40000.000000000000000,1002.447509915519959,1166.105639886639437,8,16.325855304375146
2786,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2787,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2788,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2789,0,800.000000000000000,40000.000000000000000,1411.147644214401225,1248.898297263508084,9,11.497687546452223
2790,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2791,0,800.000000000000000,40000.000000000000000,2073.282328770192180,1845.485479559086798,12,10.987256585851842
2792,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2793,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2794,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2795,0,800.000000000000000,40000.000000000000000,1511.494695344402771,1162.581521924716981,8,23.083982662617544
2796,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2797,0,800.000000000000000,40000.000000000000000,0.000000000000000,25.563502433372502,1,
2798,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2799,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2800,0,800.000000000000000,40000.000000000000000,1012.950067717439993,1285.885502439611628,14,26.944608961545214
2801,0,800.000000000000000,40000.000000000000000,0.000000000000000,132.559445138201283,2,
2802,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2803,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2804,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2805,0,415.172578597854340,1517.057817326668328,0.000000000000000,0.000000000000000,0,
2806,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2807,0,800.000000000000000,40000.000000000000000,358.714797510024027,288.577118106665978,2,19.552491252161992
2808,0,800.000000000000000,40000.000000000000000,252.735706949040008,89.098569917572789,1,64.746346690324188
2809,0,800.000000000000000,40000.000000000000000,0.000000000000000,11.212214024464600,1,
2810,0,800.000000000000000,40000.000000000000000,511.736710835052008,568.317920277286930,4,11.056703231219371
2811,0,800.000000000000000,40000.000000000000000,1264.298874089040055,1311.756399486600685,11,3.753663502370434
2812,0,800.000000000000000,40000.000000000000000,756.185352383088116,775.329408085189925,6,2.531661799818004
2813,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2814,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2815,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2816,0,800.000000000000000,40000.000000000000000,1895.752496277684031,1714.924672018352339,13,9.538577668466095
2817,0,800.000000000000000,40000.000000000000000,1909.922254425602887,2127.692060520372252,15,11.402024642111011
2818,0,800.000000000000000,40000.000000000000000,181.806919758719999,206.669777784418386,3,13.675418987734043
2819,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2820,0,800.000000000000000,40000.000000000000000,1181.844661864231966,1353.266995791081627,10,14.504641723088168
2821,0,788.297044424455066,38827.074561307694239,779.714387571095926,1255.867283010941037,8,61.067604116312211
2822,0,800.000000000000000,40000.000000000000000,732.508784258184050,734.324595830728072,6,0.247889392122840
2823,0,800.000000000000000,40000.000000000000000,305.774124688809025,415.244153993856571,4,35.800946014139313
2824,0,800.000000000000000,40000.000000000000000,0.000000000000000,21.742719944080100,1,
2825,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2826,0,357.651607606572497,5218.125952750874603,0.000000000000000,0.000000000000000,0,
2827,0,800.000000000000000,40000.000000000000000,1460.451335155524021,1857.661438508430138,12,27.197763718063705
2828,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
